BOR;AN;FI;FI_EJ;BIO_A1;BIO_A2;BIO_A3;BIO_A4;BIO_A5;BIO_A6;BIO_A7;BIO_A8;BIO_A9;BIO_A10;BIO_A11;BIO_A12;BIO_A13;BIO_A14;BIO_A15;BIO_A16;BIO_A17;BIO_A18;BIO_B1;BIO_B2;BIO_B3;BIO_B4;BIO_A19;BIO_A20;BIO_B19;BIO_B20;BIO_B21;BIO_C19;BIO_C20;BIO_A22;BIO_A23;BIO_A24;BIO_A25;BIO_A26;BIO_A27;BIO_A28;BIO_A29;BIO_A30;BIO_B22;BIO_B23;BIO_B24;BIO_B25;BIO_B26;BIO_B27;BIO_B28;BIO_B29;BIO_B30;BIO_C22;BIO_C23;BIO_C24;BIO_C25;BIO_C26;BIO_C27;BIO_C28;BIO_C29;BIO_C30;BIO_D22;BIO_D23;BIO_D25;BIO_E22;BIO_E23;BIO_E25
BIO;2019;160000253;160000451;1;1;0;1;1;1;0;1;0;0;;1;1;1;0;0;0;0;0;890156;108083;53326;3756;1606;5573;116;81;683;13;3;2;;31;4;2;1;1;1;3;;1;3;1;;;1;;4.8;1.87;1;33.37;5.52;2;0.1;1.91;1;0;;1;1;;
BIO;2019;160000303;160006037;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;140936;8319;5503;0;;0;;;;;1;;;9;1;;;;;;;;;;;;;;1;;;8.27;1;;;;;;;1;;;
BIO;2019;170000087;170024194;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1738909;84105;67463;6324;2370;11639;55;392;6444;4;2;4;;;;3;1;6;4;;1;;;;;;1;2;2;4.8;;;;3;0.25;6.81;4.58;0;0;;1;1;
BIO;2019;170000152;170780225;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;67323;14314;1384;0;;0;;;;;2;1;;19;5;;;;;;;;1;2;;;;;2.33;1;;14.65;5.13;;;;;0;0;;1;1;1
BIO;2019;180000010;180000028;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1348042;98905;96834;5152;2898;4503;12;102;0;0;4;;;22;4;2;;2;;;;1;6;;;1;1;1;3.72;;0.9;26.09;5.07;2;0.09;2.74;0.74;0;;1;1;;0
BIO;2019;180000200;180000051;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;249145;14254;;0;0;0;0;0;0;0;0;1;0;7;1;0;0;0;0;1;0;1;2;3;0;0;1;1;0.4;1;0.2;7.85;2.27;0;0;0.1;0.1;0;0;1;1;1;0
BIO;2019;190000018;190000042;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1053436;25518;20094;;;;;;;;3;1;1;19;5;;;;;;2;;5;2;;;;;2.06;1.7;1;23.25;6.65;;;;;0;0;1;1;1;0
BIO;2019;190000026;190000059;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;435744;133663;2558;986;17;1958;0;49;2;0;;1;1;14;5;1;;2;1;1;1;;4;1;;;2;;0.76;1.92;1;16.67;5.88;0.7;;2.39;1.11;0;0;;1;1;
BIO;2019;210987558;210780581;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;3373307;204137;;8611;3269;23411;93;559;1176;12;42;11;9;135;63;6;;10;2;10;1;;47;22;9;;7;;30.94;6.66;8.62;174.08;77.77;7.2;;15.09;2;1;1;1;1;1;0
BIO;2019;210987657;210012175;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;273299;26898;0;0;;0;;;;;;3;1;15;13;;;;;;1;;1;;;;;;;3.6;0.84;16.63;10.22;;;;;;0;1;;1;0
BIO;2019;210987665;210012142;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;117229;916;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;0.84;;;;;;;;;;
BIO;2019;210987699;210780706;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;241210;191828;64063;;;;;;;;1;2;1;13;5;;;;;0;0;0;5;1;;;;;1;2;1;15.13;5.56;;;;;0;0;1;1;1;0
