bor;an;fi;rs;rscom;fi_ej;grp;stj;stjr;cat;catr;espic;mft;ccr;nat;sir;reg;dep;reg_diff;dep_diff;COMINSEE;NOMCOM;ARMT;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3;VAL;RESPREG
ID;2019;450010442;CHR D'ORLEANS - SITE SARAN;C. H. R. O.;450000088;04;15;1;362;PUB9;1;0;;0;26450009100170;24;45;24;45;45302;SARAN;;0;;7;450000088;2;1;1160;R;PASSE DEBOUT;;45770;SARAN;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;A;124
ID;2019;450011507;AIDAPHI;;;05;60;3;161;PNL7;6;1;0;1;337562862;24;45;24;45;45284;SAINT-JEAN-DE-BRAYE;;0;;6;;1;1;71;AV;DENIS PAPIN;BP 80123;45803;ST JEAN DE BRAYE CEDEX;;0;;;;;;;;;;;;;;;;;;33756286200025;;;;0;;;;;;;;;;P;124
ID;2019;450011549;A.T.I.R.R.O. AUTODIALYSE JEAN MOULIN;;450001201;07;60;3;146;PNL5;6;4;1;0;32503248000072;24;45;24;45;45234;ORLEANS;;0;;6;450001201;1;1;12;R;JEAN MOULIN;;45100;ORLEANS;ZI DES MONTÉES;0;;;;;;;;;;;;;;;;;325032480;32503248000106;;;1;0;;;;;;;;;;P;124
ID;2019;450012935;CENTRE D'HEMODIALYSE ARCHETTE;;450001466;07;72;2;141;PLU5;0;4;5;0;34275533700025;24;45;24;45;45232;OLIVET;;0;;6;450001466;1;1;83;R;JACQUES MONOD;BP 109;45161;OLIVET CEDEX;;0;;;;;;;;;;;;;;;;;342755337;;;;;0;;;;;;;;;;P;124
ID;2019;450012968;CLINIQUE DE MONTARGIS;;450001474;09;73;2;365;PLU4;0;4;5;0;39054135700021;24;45;24;45;45208;MONTARGIS;;0;;6;;2;1;46;R;DE LA QUINTAINE;BP 219;45202;MONTARGIS CEDEX;;0;;;;SELARL MEDIBIO 45;;SCM RADIOLOGIE;;GIE IRM DU GATINAIS;;;;;;;;;390541357;39054135700021;;;0;0;;;;;;;;;;P;124
ID;2019;450013081;MRC LA CIGOGNE;;450001490;09;75;2;109;PLU8;0;4;5;0;35388017200021;24;45;24;45;45302;SARAN;;0;;6;;1;1;60;ALL;CHARLES NUNGESSER;;45770;SARAN;Z. A. C. DES PORTES DU LOIRET;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;124
ID;2019;450013818;CENTRE D'HEMODIALYSE JEANNE D'ARC;;920033610;07;95;2;146;PLU5;0;4;5;0;43254564800037;24;45;24;45;45155;GIEN;;0;;6;920033610;1;1;;R;DES TULIPES;;45500;GIEN;;1;443357702;AVITUM France;;;;;;;;;;;;;;;432545648;;;;0;0;;;;;;;;;;P;124
ID;2019;450014956;MRC LES SABLONS;;450000849;09;61;3;109;PNL8;6;1;1;0;78413104700036;24;45;24;45;45089;CHECY;;;;6;;1;1;19;R;DE LA MERIE;;45430;CHECY;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;P;124
ID;2019;450015144;MRC DOMAINE DE LONGUEVE;;920030897;09;72;2;109;PLU8;0;4;5;0;39837796000032;24;45;24;45;45147;FLEURY-LES-AUBRAIS;;0;;6;;1;;10;R;10 rue du Bois de la Glazière;;45400;FLEURY LES AUBRAIS;CLOS DE LONGUEVE;1;301160750;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;124
ID;2019;450017694;A.T.I.R.R.O. AUTODIALYSE GUIGNEGAULT;;450001201;07;60;3;146;PNL5;6;4;1;0;32503248000114;24;45;24;45;45234;ORLEANS;;0;;6;450001201;1;1;18B;R;GUIGNEGAULT;;45100;ORLEANS;;0;;;;;;;;;;;;;;;;;325032480;32503248000114;;;0;0;;;;;;;;;;P;124
